year,period,periodName,latest,value,item
2020,M05,May,NA,1.945,Mountain (Nevada)
2020,M04,April,NA,2.077,Mountain (Nevada)
2020,M03,March,NA,2.459,Mountain (Nevada)
2020,M02,February,NA,2.591,Mountain (Nevada)
2020,M01,January,NA,2.675,Mountain (Nevada)
2019,M12,December,NA,2.801,Mountain (Nevada)
2019,M11,November,NA,2.923,Mountain (Nevada)
2019,M10,October,NA,2.826,Mountain (Nevada)
2019,M09,September,NA,2.760,Mountain (Nevada)
2019,M08,August,NA,2.740,Mountain (Nevada)
2019,M07,July,NA,2.807,Mountain (Nevada)
2019,M06,June,NA,3.001,Mountain (Nevada)
2019,M05,May,NA,3.111,Mountain (Nevada)
2019,M04,April,NA,2.799,Mountain (Nevada)
2019,M03,March,NA,2.400,Mountain (Nevada)
2019,M02,February,NA,2.265,Mountain (Nevada)
2019,M01,January,NA,2.383,Mountain (Nevada)
2018,M12,December,NA,2.624,Mountain (Nevada)
2018,M11,November,NA,2.860,Mountain (Nevada)
2018,M10,October,NA,2.935,Mountain (Nevada)
2018,M09,September,NA,2.938,Mountain (Nevada)
2018,M08,August,NA,2.906,Mountain (Nevada)
2018,M07,July,NA,2.937,Mountain (Nevada)
2018,M06,June,NA,3.029,Mountain (Nevada)
2018,M05,May,NA,2.980,Mountain (Nevada)
2018,M04,April,NA,2.753,Mountain (Nevada)
2018,M03,March,NA,2.436,Mountain (Nevada)
2018,M02,February,NA,2.398,Mountain (Nevada)
2018,M01,January,NA,2.347,Mountain (Nevada)
2024,M07,July,true,3.588,Detroit (Michigan)
2024,M06,June,NA,3.537,Detroit (Michigan)
2024,M05,May,NA,3.583,Detroit (Michigan)
2024,M04,April,NA,3.590,Detroit (Michigan)
2024,M03,March,NA,3.504,Detroit (Michigan)
2024,M02,February,NA,3.180,Detroit (Michigan)
2024,M01,January,NA,2.954,Detroit (Michigan)
2023,M12,December,NA,3.035,Detroit (Michigan)
2023,M11,November,NA,3.310,Detroit (Michigan)
2023,M10,October,NA,3.471,Detroit (Michigan)
2023,M09,September,NA,3.718,Detroit (Michigan)
2023,M08,August,NA,3.785,Detroit (Michigan)
2023,M07,July,NA,3.570,Detroit (Michigan)
2023,M06,June,NA,3.597,Detroit (Michigan)
2023,M05,May,NA,3.453,Detroit (Michigan)
2023,M04,April,NA,3.552,Detroit (Michigan)
2023,M03,March,NA,3.458,Detroit (Michigan)
2023,M02,February,NA,3.360,Detroit (Michigan)
2023,M01,January,NA,3.344,Detroit (Michigan)
2022,M12,December,NA,3.096,Detroit (Michigan)
2022,M11,November,NA,3.786,Detroit (Michigan)
2022,M10,October,NA,4.072,Detroit (Michigan)
2022,M09,September,NA,3.964,Detroit (Michigan)
2022,M08,August,NA,3.998,Detroit (Michigan)
2022,M07,July,NA,4.661,Detroit (Michigan)
2022,M06,June,NA,5.180,Detroit (Michigan)
2022,M05,May,NA,4.444,Detroit (Michigan)
2022,M04,April,NA,4.012,Detroit (Michigan)
2022,M03,March,NA,4.118,Detroit (Michigan)
2022,M02,February,NA,3.389,Detroit (Michigan)
2022,M01,January,NA,3.206,Detroit (Michigan)
2021,M12,December,NA,3.256,Detroit (Michigan)
2021,M11,November,NA,3.358,Detroit (Michigan)
2021,M10,October,NA,3.285,Detroit (Michigan)
2021,M09,September,NA,3.252,Detroit (Michigan)
2021,M08,August,NA,3.308,Detroit (Michigan)
2021,M07,July,NA,3.270,Detroit (Michigan)
2021,M06,June,NA,3.145,Detroit (Michigan)
2021,M05,May,NA,2.877,Detroit (Michigan)
2021,M04,April,NA,2.728,Detroit (Michigan)
2021,M03,March,NA,2.676,Detroit (Michigan)
2021,M02,February,NA,2.387,Detroit (Michigan)
2021,M01,January,NA,2.167,Detroit (Michigan)
2020,M12,December,NA,2.021,Detroit (Michigan)
2020,M11,November,NA,1.932,Detroit (Michigan)
2020,M10,October,NA,2.026,Detroit (Michigan)
2020,M09,September,NA,2.022,Detroit (Michigan)
2020,M08,August,NA,2.139,Detroit (Michigan)
2020,M07,July,NA,2.173,Detroit (Michigan)
2020,M06,June,NA,2.035,Detroit (Michigan)
2020,M05,May,NA,1.756,Detroit (Michigan)
2020,M04,April,NA,1.496,Detroit (Michigan)
2020,M03,March,NA,2.062,Detroit (Michigan)
2020,M02,February,NA,2.329,Detroit (Michigan)
2020,M01,January,NA,2.515,Detroit (Michigan)
2019,M12,December,NA,2.522,Detroit (Michigan)
2019,M11,November,NA,2.487,Detroit (Michigan)
2019,M10,October,NA,2.583,Detroit (Michigan)
2019,M09,September,NA,2.671,Detroit (Michigan)
2019,M08,August,NA,2.724,Detroit (Michigan)
2019,M07,July,NA,2.868,Detroit (Michigan)
2019,M06,June,NA,2.695,Detroit (Michigan)
2019,M05,May,NA,2.800,Detroit (Michigan)
2019,M04,April,NA,2.782,Detroit (Michigan)
2019,M03,March,NA,2.527,Detroit (Michigan)
2019,M02,February,NA,2.244,Detroit (Michigan)
2019,M01,January,NA,1.981,Detroit (Michigan)
2018,M12,December,NA,2.242,Detroit (Michigan)
2018,M11,November,NA,2.608,Detroit (Michigan)
2018,M10,October,NA,2.840,Detroit (Michigan)
2018,M09,September,NA,2.873,Detroit (Michigan)
2018,M08,August,NA,2.904,Detroit (Michigan)
2018,M07,July,NA,2.918,Detroit (Michigan)
2018,M06,June,NA,2.965,Detroit (Michigan)
2018,M05,May,NA,2.924,Detroit (Michigan)
2018,M04,April,NA,2.671,Detroit (Michigan)
2018,M03,March,NA,2.524,Detroit (Michigan)
2018,M02,February,NA,2.500,Detroit (Michigan)
2018,M01,January,NA,2.612,Detroit (Michigan)
2024,M07,July,true,3.492,Phoenix (Arizona)
2024,M06,June,NA,3.698,Phoenix (Arizona)
2024,M05,May,NA,4.034,Phoenix (Arizona)
2024,M04,April,NA,4.236,Phoenix (Arizona)
2024,M03,March,NA,3.720,Phoenix (Arizona)
2024,M02,February,NA,3.368,Phoenix (Arizona)
2024,M01,January,NA,3.211,Phoenix (Arizona)
2023,M12,December,NA,3.318,Phoenix (Arizona)
2023,M11,November,NA,3.724,Phoenix (Arizona)
2023,M10,October,NA,4.492,Phoenix (Arizona)
2023,M09,September,NA,4.762,Phoenix (Arizona)
2023,M08,August,NA,4.270,Phoenix (Arizona)
2023,M07,July,NA,3.877,Phoenix (Arizona)
2023,M06,June,NA,4.389,Phoenix (Arizona)
2023,M05,May,NA,4.936,Phoenix (Arizona)
2023,M04,April,NA,4.796,Phoenix (Arizona)
2023,M03,March,NA,4.215,Phoenix (Arizona)
2023,M02,February,NA,3.577,Phoenix (Arizona)
2023,M01,January,NA,3.469,Phoenix (Arizona)
2022,M12,December,NA,3.651,Phoenix (Arizona)
2022,M11,November,NA,4.432,Phoenix (Arizona)
2022,M10,October,NA,4.806,Phoenix (Arizona)
2022,M09,September,NA,4.176,Phoenix (Arizona)
2022,M08,August,NA,4.128,Phoenix (Arizona)
2022,M07,July,NA,4.956,Phoenix (Arizona)
2022,M06,June,NA,5.559,Phoenix (Arizona)
2022,M05,May,NA,4.946,Phoenix (Arizona)
2022,M04,April,NA,4.620,Phoenix (Arizona)
2022,M03,March,NA,4.519,Phoenix (Arizona)
2022,M02,February,NA,3.758,Phoenix (Arizona)
2022,M01,January,NA,3.644,Phoenix (Arizona)
2021,M12,December,NA,3.783,Phoenix (Arizona)
2021,M11,November,NA,3.746,Phoenix (Arizona)
2021,M10,October,NA,3.390,Phoenix (Arizona)
2021,M09,September,NA,3.123,Phoenix (Arizona)
2021,M08,August,NA,3.096,Phoenix (Arizona)
2021,M07,July,NA,3.103,Phoenix (Arizona)
2021,M06,June,NA,3.104,Phoenix (Arizona)
2021,M05,May,NA,3.059,Phoenix (Arizona)
2021,M04,April,NA,2.999,Phoenix (Arizona)
2021,M03,March,NA,3.033,Phoenix (Arizona)
2021,M02,February,NA,2.537,Phoenix (Arizona)
2021,M01,January,NA,2.339,Phoenix (Arizona)
2020,M12,December,NA,2.181,Phoenix (Arizona)
2020,M11,November,NA,2.201,Phoenix (Arizona)
2020,M10,October,NA,2.238,Phoenix (Arizona)
2020,M09,September,NA,2.290,Phoenix (Arizona)
2020,M08,August,NA,2.296,Phoenix (Arizona)
2020,M07,July,NA,2.328,Phoenix (Arizona)
2020,M06,June,NA,2.233,Phoenix (Arizona)
2020,M05,May,NA,2.053,Phoenix (Arizona)
2020,M04,April,NA,2.226,Phoenix (Arizona)
2020,M03,March,NA,2.662,Phoenix (Arizona)
2020,M02,February,NA,2.834,Phoenix (Arizona)
2020,M01,January,NA,2.855,Phoenix (Arizona)
2019,M12,December,NA,2.887,Phoenix (Arizona)
2019,M11,November,NA,2.949,Phoenix (Arizona)
2019,M10,October,NA,2.931,Phoenix (Arizona)
2019,M09,September,NA,2.888,Phoenix (Arizona)
2019,M08,August,NA,2.739,Phoenix (Arizona)
2019,M07,July,NA,2.744,Phoenix (Arizona)
2019,M06,June,NA,2.976,Phoenix (Arizona)
2019,M05,May,NA,3.136,Phoenix (Arizona)
2019,M04,April,NA,2.928,Phoenix (Arizona)
2019,M03,March,NA,2.516,Phoenix (Arizona)
2019,M02,February,NA,2.387,Phoenix (Arizona)
2019,M01,January,NA,2.531,Phoenix (Arizona)
2018,M12,December,NA,2.712,Phoenix (Arizona)
2018,M11,November,NA,2.818,Phoenix (Arizona)
2018,M10,October,NA,2.876,Phoenix (Arizona)
2018,M09,September,NA,2.816,Phoenix (Arizona)
2018,M08,August,NA,2.823,Phoenix (Arizona)
2018,M07,July,NA,2.904,Phoenix (Arizona)
2018,M06,June,NA,3.032,Phoenix (Arizona)
2018,M05,May,NA,2.871,Phoenix (Arizona)
2018,M04,April,NA,2.634,Phoenix (Arizona)
2018,M03,March,NA,2.336,Phoenix (Arizona)
2018,M02,February,NA,2.306,Phoenix (Arizona)
2018,M01,January,NA,2.240,Phoenix (Arizona)
2024,M07,July,true,3.527,Philadelphia (Pennsylvania)
2024,M06,June,NA,3.475,Philadelphia (Pennsylvania)
2024,M05,May,NA,3.622,Philadelphia (Pennsylvania)
2024,M04,April,NA,3.562,Philadelphia (Pennsylvania)
2024,M03,March,NA,3.343,Philadelphia (Pennsylvania)
2024,M02,February,NA,3.297,Philadelphia (Pennsylvania)
2024,M01,January,NA,3.231,Philadelphia (Pennsylvania)
2023,M12,December,NA,3.333,Philadelphia (Pennsylvania)
2023,M11,November,NA,3.457,Philadelphia (Pennsylvania)
2023,M10,October,NA,3.612,Philadelphia (Pennsylvania)
2023,M09,September,NA,3.810,Philadelphia (Pennsylvania)
2023,M08,August,NA,3.840,Philadelphia (Pennsylvania)
2023,M07,July,NA,3.653,Philadelphia (Pennsylvania)
2023,M06,June,NA,3.578,Philadelphia (Pennsylvania)
2023,M05,May,NA,3.557,Philadelphia (Pennsylvania)
2023,M04,April,NA,3.569,Philadelphia (Pennsylvania)
2023,M03,March,NA,3.366,Philadelphia (Pennsylvania)
2023,M02,February,NA,3.430,Philadelphia (Pennsylvania)
2023,M01,January,NA,3.488,Philadelphia (Pennsylvania)
2022,M12,December,NA,3.502,Philadelphia (Pennsylvania)
2022,M11,November,NA,3.932,Philadelphia (Pennsylvania)
2022,M10,October,NA,3.755,Philadelphia (Pennsylvania)
2022,M09,September,NA,3.739,Philadelphia (Pennsylvania)
2022,M08,August,NA,4.209,Philadelphia (Pennsylvania)
2022,M07,July,NA,4.638,Philadelphia (Pennsylvania)
2022,M06,June,NA,4.984,Philadelphia (Pennsylvania)
2022,M05,May,NA,4.651,Philadelphia (Pennsylvania)
2022,M04,April,NA,4.172,Philadelphia (Pennsylvania)
2022,M03,March,NA,4.233,Philadelphia (Pennsylvania)
2022,M02,February,NA,3.643,Philadelphia (Pennsylvania)
2022,M01,January,NA,3.454,Philadelphia (Pennsylvania)
2021,M12,December,NA,3.476,Philadelphia (Pennsylvania)
2021,M11,November,NA,3.506,Philadelphia (Pennsylvania)
2021,M10,October,NA,3.396,Philadelphia (Pennsylvania)
2021,M09,September,NA,3.235,Philadelphia (Pennsylvania)
2021,M08,August,NA,3.223,Philadelphia (Pennsylvania)
2021,M07,July,NA,3.180,Philadelphia (Pennsylvania)
2021,M06,June,NA,3.114,Philadelphia (Pennsylvania)
2021,M05,May,NA,3.030,Philadelphia (Pennsylvania)
2021,M04,April,NA,2.865,Philadelphia (Pennsylvania)
2021,M03,March,NA,2.928,Philadelphia (Pennsylvania)
2021,M02,February,NA,2.721,Philadelphia (Pennsylvania)
2021,M01,January,NA,2.622,Philadelphia (Pennsylvania)
2020,M12,December,NA,2.485,Philadelphia (Pennsylvania)
2020,M11,November,NA,2.336,Philadelphia (Pennsylvania)
2020,M10,October,NA,2.364,Philadelphia (Pennsylvania)
2020,M09,September,NA,2.365,Philadelphia (Pennsylvania)
2020,M08,August,NA,2.312,Philadelphia (Pennsylvania)
2020,M07,July,NA,2.311,Philadelphia (Pennsylvania)
2020,M06,June,NA,2.185,Philadelphia (Pennsylvania)
2020,M05,May,NA,2.032,Philadelphia (Pennsylvania)
2020,M04,April,NA,2.090,Philadelphia (Pennsylvania)
