year,period,periodName,latest,value,item
2023,M01,January,NA,5.058,Cookies
2022,M12,December,NA,4.974,Cookies
2022,M11,November,NA,4.942,Cookies
2022,M10,October,NA,4.869,Cookies
2022,M09,September,NA,4.796,Cookies
2022,M08,August,NA,4.676,Cookies
2022,M07,July,NA,4.654,Cookies
2022,M06,June,NA,4.567,Cookies
2022,M05,May,NA,4.505,Cookies
2022,M04,April,NA,4.174,Cookies
2022,M03,March,NA,4.147,Cookies
2022,M02,February,NA,4.150,Cookies
2022,M01,January,NA,4.223,Cookies
2021,M12,December,NA,4.089,Cookies
2021,M11,November,NA,3.999,Cookies
2021,M10,October,NA,3.815,Cookies
2021,M09,September,NA,3.981,Cookies
2021,M08,August,NA,4.065,Cookies
2021,M07,July,NA,4.065,Cookies
2021,M06,June,NA,4.068,Cookies
2021,M05,May,NA,4.019,Cookies
2021,M04,April,NA,3.939,Cookies
2021,M03,March,NA,3.964,Cookies
2021,M02,February,NA,3.800,Cookies
2021,M01,January,NA,3.669,Cookies
2020,M12,December,NA,3.793,Cookies
2020,M11,November,NA,3.767,Cookies
2020,M10,October,NA,3.848,Cookies
2020,M09,September,NA,3.659,Cookies
2020,M08,August,NA,3.769,Cookies
2020,M07,July,NA,3.696,Cookies
2020,M06,June,NA,3.717,Cookies
2020,M05,May,NA,3.617,Cookies
2020,M04,April,NA,3.826,Cookies
2020,M03,March,NA,3.633,Cookies
2020,M02,February,NA,3.551,Cookies
2020,M01,January,NA,3.525,Cookies
2019,M12,December,NA,3.584,Cookies
2019,M11,November,NA,3.603,Cookies
2019,M10,October,NA,3.602,Cookies
2019,M09,September,NA,3.587,Cookies
2019,M08,August,NA,3.496,Cookies
2019,M07,July,NA,3.468,Cookies
2019,M06,June,NA,3.504,Cookies
2019,M05,May,NA,3.352,Cookies
2019,M04,April,NA,3.426,Cookies
2019,M03,March,NA,3.311,Cookies
2019,M02,February,NA,3.516,Cookies
2019,M01,January,NA,3.466,Cookies
2024,M05,May,true,3.755,Gasoline (gallon)
2024,M04,April,NA,3.776,Gasoline (gallon)
2024,M03,March,NA,3.581,Gasoline (gallon)
2024,M02,February,NA,3.359,Gasoline (gallon)
2024,M01,January,NA,3.221,Gasoline (gallon)
2023,M12,December,NA,3.289,Gasoline (gallon)
2023,M11,November,NA,3.500,Gasoline (gallon)
2023,M10,October,NA,3.782,Gasoline (gallon)
2023,M09,September,NA,3.988,Gasoline (gallon)
2023,M08,August,NA,3.955,Gasoline (gallon)
2023,M07,July,NA,3.732,Gasoline (gallon)
2023,M06,June,NA,3.712,Gasoline (gallon)
2023,M05,May,NA,3.685,Gasoline (gallon)
2023,M04,April,NA,3.735,Gasoline (gallon)
2023,M03,March,NA,3.551,Gasoline (gallon)
2023,M02,February,NA,3.514,Gasoline (gallon)
2023,M01,January,NA,3.452,Gasoline (gallon)
2022,M12,December,NA,3.356,Gasoline (gallon)
2022,M11,November,NA,3.853,Gasoline (gallon)
2022,M10,October,NA,4.016,Gasoline (gallon)
2022,M09,September,NA,3.881,Gasoline (gallon)
2022,M08,August,NA,4.101,Gasoline (gallon)
2022,M07,July,NA,4.667,Gasoline (gallon)
2022,M06,June,NA,5.058,Gasoline (gallon)
2022,M05,May,NA,4.604,Gasoline (gallon)
2022,M04,April,NA,4.271,Gasoline (gallon)
2022,M03,March,NA,4.312,Gasoline (gallon)
2022,M02,February,NA,3.592,Gasoline (gallon)
2022,M01,January,NA,3.413,Gasoline (gallon)
2021,M12,December,NA,3.408,Gasoline (gallon)
2021,M11,November,NA,3.482,Gasoline (gallon)
2021,M10,October,NA,3.385,Gasoline (gallon)
2021,M09,September,NA,3.265,Gasoline (gallon)
2021,M08,August,NA,3.255,Gasoline (gallon)
2021,M07,July,NA,3.233,Gasoline (gallon)
2021,M06,June,NA,3.154,Gasoline (gallon)
2021,M05,May,NA,2.972,Gasoline (gallon)
2021,M04,April,NA,2.839,Gasoline (gallon)
2021,M03,March,NA,2.791,Gasoline (gallon)
2021,M02,February,NA,2.496,Gasoline (gallon)
2021,M01,January,NA,2.326,Gasoline (gallon)
2020,M12,December,NA,2.168,Gasoline (gallon)
2020,M11,November,NA,2.090,Gasoline (gallon)
2020,M10,October,NA,2.159,Gasoline (gallon)
2020,M09,September,NA,2.193,Gasoline (gallon)
2020,M08,August,NA,2.177,Gasoline (gallon)
2020,M07,July,NA,2.176,Gasoline (gallon)
2020,M06,June,NA,2.076,Gasoline (gallon)
2020,M05,May,NA,1.879,Gasoline (gallon)
2020,M04,April,NA,1.876,Gasoline (gallon)
2020,M03,March,NA,2.267,Gasoline (gallon)
2020,M02,February,NA,2.465,Gasoline (gallon)
2020,M01,January,NA,2.567,Gasoline (gallon)
2019,M12,December,NA,2.587,Gasoline (gallon)
2019,M11,November,NA,2.620,Gasoline (gallon)
2019,M10,October,NA,2.673,Gasoline (gallon)
2019,M09,September,NA,2.630,Gasoline (gallon)
2019,M08,August,NA,2.655,Gasoline (gallon)
2019,M07,July,NA,2.776,Gasoline (gallon)
2019,M06,June,NA,2.752,Gasoline (gallon)
2019,M05,May,NA,2.901,Gasoline (gallon)
2019,M04,April,NA,2.835,Gasoline (gallon)
2019,M03,March,NA,2.564,Gasoline (gallon)
2019,M02,February,NA,2.353,Gasoline (gallon)
2019,M01,January,NA,2.289,Gasoline (gallon)
2024,M05,May,true,0.964,Potatoes (pound)
2024,M04,April,NA,0.971,Potatoes (pound)
2024,M03,March,NA,0.972,Potatoes (pound)
2024,M02,February,NA,0.971,Potatoes (pound)
2024,M01,January,NA,0.978,Potatoes (pound)
2023,M12,December,NA,0.961,Potatoes (pound)
2023,M11,November,NA,0.983,Potatoes (pound)
2023,M10,October,NA,1.006,Potatoes (pound)
2023,M09,September,NA,1.047,Potatoes (pound)
2023,M08,August,NA,1.094,Potatoes (pound)
2023,M07,July,NA,1.051,Potatoes (pound)
2023,M06,June,NA,1.026,Potatoes (pound)
2023,M05,May,NA,1.008,Potatoes (pound)
2023,M04,April,NA,0.980,Potatoes (pound)
2023,M03,March,NA,0.968,Potatoes (pound)
2023,M02,February,NA,0.978,Potatoes (pound)
2023,M01,January,NA,0.953,Potatoes (pound)
2022,M12,December,NA,0.948,Potatoes (pound)
2022,M11,November,NA,0.945,Potatoes (pound)
2022,M10,October,NA,0.991,Potatoes (pound)
2022,M09,September,NA,1.019,Potatoes (pound)
2022,M08,August,NA,0.994,Potatoes (pound)
2022,M07,July,NA,0.945,Potatoes (pound)
2022,M06,June,NA,0.891,Potatoes (pound)
2022,M05,May,NA,0.875,Potatoes (pound)
2022,M04,April,NA,0.849,Potatoes (pound)
2022,M03,March,NA,0.825,Potatoes (pound)
2022,M02,February,NA,0.802,Potatoes (pound)
2022,M01,January,NA,0.792,Potatoes (pound)
2021,M12,December,NA,0.778,Potatoes (pound)
2021,M11,November,NA,0.767,Potatoes (pound)
