SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
352,27406,NC,1048,1152,1306,1487,1536,1609
353,95206,CA,NA,NA,NA,NA,2349,2508
354,60402,IL,1054,1132,1192,1271,1373,1473
356,95608,CA,1413,1486,1735,1763,1814,1855
357,60651,IL,NA,1135,1200,1307,1438,1583
358,33313,FL,1326,1410,1721,1922,1974,2127
359,30062,GA,1412,1536,1850,1899,1950,1964
360,91343,CA,NA,NA,NA,2565,2733,2927
361,78249,TX,1236,1262,1459,1499,1470,1452
362,84404,UT,NA,NA,NA,1718,1781,1822
363,92201,CA,NA,NA,2287,2587,2668,2969
364,28215,NC,1309,1480,1669,1828,1890,1941
365,92562,CA,1794,1953,2317,2416,2440,2485
366,31907,GA,NA,921,1058,1087,1163,1211
367,77373,TX,1395,1414,1662,1700,1788,1859
368,77386,TX,1526,1598,1760,1860,1907,1915
369,10024,NY,3100,2614,3274,3541,3729,3908
370,32818,FL,1349,1405,1767,1858,1938,1948
371,29445,SC,1352,1450,1682,1781,1946,1999
372,94806,CA,NA,NA,2345,2387,2457,2465
373,48180,MI,NA,NA,NA,1296,1360,1404
375,75150,TX,988,1073,1209,1324,1379,1397
376,44035,OH,NA,NA,869,945,1011,1027
377,92392,CA,NA,NA,2000,2170,2250,2391
378,37128,TN,1328,1375,1606,1740,1740,1841
380,22407,VA,NA,NA,1614,1782,1862,1945
381,92627,CA,2442,2538,2922,3093,3188,3328
382,96818,HI,NA,NA,1956,2120,2151,2305
383,94015,CA,2329,2283,2385,2476,2493,2586
384,89123,NV,1284,1354,1637,1671,1710,1745
385,93309,CA,NA,NA,1397,1426,1532,1591
386,33027,FL,1845,1900,2434,2614,2703,2732
387,60619,IL,966,1032,1062,1141,1210,1304
388,10032,NY,2224,2028,2243,2475,2554,2587
389,85041,AZ,1437,1644,1946,2062,2138,2207
391,75056,TX,1350,1399,1671,1772,1770,1717
392,90001,CA,NA,NA,NA,NA,NA,2249
