SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
284,Norfolk City,VA,1104,1177,1311,1419,1485,1594
285,Henry County,GA,1350,1551,1775,1912,1894,1949
286,Union County,NC,1437,1565,1756,1908,1972,2034
287,Arlington County,VA,2174,2001,2259,2356,2471,2592
288,Saratoga County,NY,1221,1302,1433,1546,1623,1669
289,Hays County,TX,1350,1406,1643,1704,1688,1637
290,Sussex County,DE,NA,NA,1958,2018,2059,2173
291,Yavapai County,AZ,1290,1394,1664,1754,1789,1858
292,Lake County,OH,1039,1095,1219,1278,1353,1420
293,Oneida County,NY,NA,NA,NA,1264,1375,1472
294,Smith County,TX,1136,1179,1374,1460,1445,1501
295,Brazos County,TX,1355,1401,1499,1628,1717,1801
296,Hinds County,MS,887,922,986,1044,1119,1193
297,Montgomery County,AL,923,974,1108,1153,1216,1286
298,Mahoning County,OH,677,746,867,920,967,1016
299,Linn County,IA,866,876,918,973,1020,1064
300,Barnstable County,MA,1857,2003,2257,2529,2697,2741
301,Canyon County,ID,1068,1192,1429,1483,1500,1530
302,Baldwin County,AL,1177,1249,1500,1585,1573,1609
303,Gaston County,NC,1151,1265,1444,1550,1622,1698
304,Jefferson County,MO,1003,1064,1171,1267,1342,1423
305,Richmond City,VA,1097,1151,1290,1391,1452,1527
306,New Hanover County,NC,1160,1242,1469,1608,1639,1658
307,Whatcom County,WA,1430,1509,1730,1856,1925,1986
308,Tuscaloosa County,AL,1129,1183,1267,1358,1460,1556
309,Berkeley County,SC,1386,1415,1651,1805,1917,1968
310,Jackson County,OR,1324,1458,1567,1603,1684,1796
311,Cabarrus County,NC,1273,1379,1589,1710,1746,1795
312,Shelby County,AL,1233,1296,1448,1490,1554,1622
313,Dona Ana County,NM,964,1054,1190,1307,1356,1392
314,Butte County,CA,1302,1363,1455,1516,1558,1613
315,Yolo County,CA,1867,1954,2169,2227,2288,2303
316,Clay County,FL,1298,1431,1668,1752,1799,1838
317,Montgomery County,TN,1004,1075,1257,1314,1357,1412
318,Lackawanna County,PA,883,983,1103,1188,1264,1337
319,Niagara County,NY,713,770,872,971,1049,1122
320,Calcasieu Parish,LA,917,NA,1105,1000,1011,1038
321,Mohave County,AZ,1131,1255,1503,1578,1609,1677
322,Delaware County,OH,1239,1278,1410,1501,1543,1637
323,Johnston County,NC,1297,1408,1620,1704,1749,1835
324,York County,ME,1237,1344,1568,1662,1828,1921
325,Okaloosa County,FL,1337,1428,1756,1878,1877,1933
326,Washington County,PA,1025,1042,1107,1203,1262,1276
327,Clermont County,OH,1091,1130,1328,1412,1512,1524
328,Harrison County,MS,925,980,1198,1270,1316,1417
329,Champaign County,IL,932,949,1030,1110,1157,1254
330,Elkhart County,IN,NA,NA,916,977,953,1040
331,Richmond County,GA,886,967,1096,1180,1229,1302
332,Benton County,WA,1209,1280,1452,1557,1631,1677
333,Muscogee County,GA,842,925,1076,1101,1153,1213
334,Yuma County,AZ,NA,NA,1286,1348,1399,1448
335,Anderson County,SC,880,928,1124,1152,1292,1320
336,Trumbull County,OH,743,805,889,951,987,1121
337,Hall County,GA,1263,1364,1634,1744,1770,1806
338,Onslow County,NC,915,990,1153,1271,1326,1374
339,Hawaii County,HI,NA,NA,2003,2173,2285,2452
340,Saint Louis County,MN,1413,1481,1565,1731,1781,1847
341,Broome County,NY,830,905,980,1140,1237,1339
342,Racine County,WI,956,1003,1076,1176,1250,1310
343,Sangamon County,IL,838,875,957,1026,1110,1141
344,Deschutes County,OR,1577,1874,2059,2101,2161,2184
345,Minnehaha County,SD,830,867,979,1062,1100,1120
346,Livingston County,MI,1479,1573,1760,1844,1999,1975
347,Sumner County,TN,1251,1291,1506,1637,1617,1632
